,cve_id,cwe_id,file_name,line_num,sec_label,insec_label,pred,result,sec_score
0,CVE-2012-2417,CWE-334,Legrandin\pycrypto\/dataset_py/CVE-2012-2417/9f912f13df99ad3421eff360d6a62d7dbec755c2/ElGamal_2.py,25,"    while 1:

","    size=bits-1-(ord(randfunc(1)) & 63) # g will be from 1--64 bits smaller than p
",while 1:,secure,1.0
1,CVE-2012-3458,CWE-329,bbangert\beaker\/dataset_py/CVE-2012-3458/91becae76101cf87ce8cbfabe3af2622fc328fe5/pycrypto_2.py,21,"        cipher = AES.new(key, AES.MODE_CTR,

","        cipher = AES.new(key)
","cipher = AES.new(key, AES.MODE_CTR,",secure,1.0
2,CVE-2012-4456,CWE-287,openstack\keystone\/dataset_py/CVE-2012-4456/14b136aed9d988f5a8f3e699bd4577c9b874d6c1/core_1.py,353,"self.assert_admin(context)
","if tenant_id is None:
",self.assert_admin(context),secure,1.0
3,CVE-2013-4249,CWE-79,django\django\/dataset_py/CVE-2013-4249/90363e388c61874add3f3557ee654a996ec75d78/widgets_1.py,278,final_attrs = {'href': smart_urlquote(value)},final_attrs = {'href': mark_safe(smart_urlquote(value))},final_attrs = {'href':smart_urlquote(value)},secure,1.0
4,CVE-2013-4249,CWE-79,django\django\/dataset_py/CVE-2013-4249/cbe6d5568f4f5053ed7228ca3c3d0cce77cf9560/widgets_1.py,273,"final_attrs = {'href': smart_urlquote(value)}
","final_attrs = {'href': mark_safe(smart_urlquote(value))}
",final_attrs = {'href':smart_urlquote(value)},secure,1.0
5,CVE-2014-0483,CWE-202,django\django\/dataset_py/CVE-2014-0483/2b31342cdf14fc20e07c43d258f1e7334ad664a6/options_1.py,1066,"        if to_field and not self.to_field_allowed(request, to_field):

","        model = self.model
","if to_field and not self.to_field_allowed(request, to_field):",secure,1.0
6,CVE-2014-1932,CWE-59,python-imaging\Pillow\/dataset_py/CVE-2014-1932/4e9f367dfd3f04c8f5d23f7f759ec12782e10ee7/JpegImagePlugin_1.py,258,"        f, path = tempfile.mkstemp()

","        file = tempfile.mktemp()

","f, path = tempfile.mkstemp()",secure,1.0
7,CVE-2014-1933,CWE-214,python-imaging\Pillow\/dataset_py/CVE-2014-1933/4e9f367dfd3f04c8f5d23f7f759ec12782e10ee7/JpegImagePlugin_1.py,258,"        f, path = tempfile.mkstemp()

","        file = tempfile.mktemp()

","f, path = tempfile.mkstemp()",secure,1.0
8,CVE-2014-3995,CWE-79,djblets\djblets\/dataset_py/CVE-2014-3995/77ac64642ad530bf69e390c51fc6fdcb8914c8e7/gravatars_1.py,22,return format_html(,"return ('<img src=""%s"" width=""%s"" height=""%s"" alt=""%s"" '","returnformat_html('<img src=""{}"" width=""{}"" height=""{}"" />', url, size, size)",secure,-0.3601980655814764
9,CVE-2015-10049,CWE-79,overdrive-diy\course-builder\/dataset_py/CVE-2015-10049/e39645fd714adb7e549908780235911ae282b21b/oeditor_1.py,96,"'exit_url': exit_url,","'exit_url': jinja2.Markup(exit_url),","'exit_url':exit_url,",secure,1.0
10,CVE-2015-10069,CWE-89,viakondratiuk\cash-machine\/dataset_py/CVE-2015-10069/62a6e24efdfa195b70d7df140d8287fdc38eb66d/machine_2.py,165,"request.db.execute(""update cards set status = 'blocked' where id = ?"", (card['id'],))
","request.db.execute(""update cards set status = 'blocked' where id = %s"" % card['id'])
","request.db.execute(""update cards set status = 'blocked' where id =?"", (card['id'],))",secure,1.0
11,CVE-2015-3171,CWE-200,sosreport\sos\/dataset_py/CVE-2015-3171/d7759d3ddae5fe99a340c88a1d370d65cfa73fd6/sosreport_2.py,1273,"                os.umask(old_umask)

","            final_filename = self.archive.get_archive_path()
",os.umask(old_umask),secure,1.0
12,CVE-2015-4706,CWE-79,ipython\ipython\/dataset_py/CVE-2015-4706/c2078a53543ed502efd968649fee1125e0eb549c/handlers_1.py,264,"            self.set_header('Content-Type', 'application/json')

","            self.finish(json.dumps(dict(message=message)))
","self.set_header('Content-Type', 'application/json')",secure,1.0
13,CVE-2015-5081,CWE-352,divio\django-cms\/dataset_py/CVE-2015-5081/f77cbc607d6e2a62e63287d37ad320109a2cc78a/publisher_2.py,334,"response = self.client.post(admin_reverse(""cms_page_publish_page"", args=[page.pk, 'en']))

","esponse = self.client.get(admin_reverse(""cms_page_publish_page"", args=[page.pk, 'en']))

","response = self.client.post(admin_reverse(""cms_page_publish_page"", args=[page.pk, 'en']))",secure,1.0
14,CVE-2015-5081,CWE-352,divio\django-cms\/dataset_py/CVE-2015-5081/f77cbc607d6e2a62e63287d37ad320109a2cc78a/publisher_3.py,349,"response = self.client.post(admin_reverse(""cms_page_publish_page"", args=[page.pk, 'en']))
","response = self.client.get(admin_reverse(""cms_page_publish_page"", args=[page.pk, 'en']))
","response = self.client.post(admin_reverse(""cms_page_publish_page"", args=[page.pk, 'en']))",secure,1.0
15,CVE-2015-5159,CWE-20,latchset\kdcproxy\/dataset_py/CVE-2015-5159/f274aa6787cb8b3ec1cc12c440a56665b7231882/__init___2.py,149,"            if length < 0:

","try:
",if length < 0:,secure,1.0
16,CVE-2016-10127,CWE-611,rohe\pysaml2\/dataset_py/CVE-2016-10127/6e09a25d9b4b7aa7a506853210a9a14100b8bc9b/__init___1.py,52,"    tree = defusedxml.ElementTree.fromstring(xml_string)

","    tree = ElementTree.fromstring(xml_string)
",tree =defusedxml.ElementTree.fromstring(xml_string),secure,1.0
17,CVE-2016-10149,CWE-611,rohe\pysaml2\/dataset_py/CVE-2016-10149/6e09a25d9b4b7aa7a506853210a9a14100b8bc9b/__init___1.py,52,"tree = defusedxml.ElementTree.fromstring(xml_string)
","tree = ElementTree.fromstring(xml_string)
",tree =defusedxml.ElementTree.fromstring(xml_string),secure,1.0
18,CVE-2016-10149,CWE-611,rohe\pysaml2\/dataset_py/CVE-2016-10149/6e09a25d9b4b7aa7a506853210a9a14100b8bc9b/soap_2.py,162,"        envelope = defusedxml.ElementTree.fromstring(text)

","        envelope = ElementTree.fromstring(text)
",envelope =defusedxml.ElementTree.fromstring(text),secure,1.0
19,CVE-2016-10149,CWE-611,rohe\pysaml2\/dataset_py/CVE-2016-10149/6e09a25d9b4b7aa7a506853210a9a14100b8bc9b/soap_3.py,184,"        envelope = defusedxml.ElementTree.fromstring(text)

","        envelope = ElementTree.fromstring(text)
",envelope =defusedxml.ElementTree.fromstring(text),secure,1.0
20,CVE-2017-0910,CWE-287/CWE-863,zulip\zulip\/dataset_py/CVE-2017-0910/960d736e55cbb9386a68e4ee45f80581fd2a4e32/registration_1.py,79,"        if prereg_user.realm is None:


","        if prereg_user.realm is not None and prereg_user.realm != realm:
",if prereg_user.realm isNone:,secure,1.0
21,CVE-2017-16615,CWE-502,thanethomson\MLAlchemy\/dataset_py/CVE-2017-16615/bc795757febdcce430d89f9d08f75c32d6989d3c/parser_1.py,28,"return parse_query(yaml.safe_load(yaml_content))

","return parse_query(yaml.load(yaml_content))

",return parse_query(yaml.safe_load(yaml_content)),secure,1.0
22,CVE-2017-16618,CWE-502,tadashi-aikawa\owlmixin\/dataset_py/CVE-2017-16618/5d0575303f6df869a515ced4285f24ba721e0d4e/util_2.py,79,"return yaml.safe_load(f)
","return yaml.load(f)
",return yaml.safe_load(f),secure,1.0
23,CVE-2017-17713,CWE-89,boxug\trape\/dataset_py/CVE-2017-17713/628149159ba25adbfc29a3ae1d4b10c7eb936dd3/stats_2.py,45,"    d = db.sentences_stats('get_preview', t)

","    d = db.sentences_stats('get_preview', vId)
","d = db.sentences_stats('get_preview',t)",secure,1.0
24,CVE-2017-17713,CWE-89,boxug\trape\/dataset_py/CVE-2017-17713/628149159ba25adbfc29a3ae1d4b10c7eb936dd3/stats_3.py,46,"    n = db.sentences_stats('id_networks', t)

","    n = db.sentences_stats('id_networks', vId)
","n = db.sentences_stats('id_networks',t)",secure,1.0
25,CVE-2017-17713,CWE-89,boxug\trape\/dataset_py/CVE-2017-17713/628149159ba25adbfc29a3ae1d4b10c7eb936dd3/victim_1.py,82,"        db.sentences_victim('report_online', [vrequest], 2)

","        db.sentences_victim('report_online', [vrequest])
","db.sentences_victim('report_online', [vrequest], 2)",secure,1.0
26,CVE-2017-17714,CWE-79,boxug\trape\/dataset_py/CVE-2017-17714/628149159ba25adbfc29a3ae1d4b10c7eb936dd3/victim_1.py,82,"        db.sentences_victim('report_online', [vrequest], 2)

","        db.sentences_victim('report_online', [vrequest])
","db.sentences_victim('report_online', [vrequest], 2)",secure,1.0
27,CVE-2017-7266,CWE-601,Netflix\security\/dataset_py/CVE-2017-7266/3b4da13efabb05970c80f464a50d3c1c12262466/logout_1.py,12,"if not current_user.is_authenticated:
","if not current_user.is_authenticated():
",if not current_user.is_authenticated:,secure,1.0
28,CVE-2017-7266,CWE-601,Netflix\security\/dataset_py/CVE-2017-7266/3b4da13efabb05970c80f464a50d3c1c12262466/modules_1.py,181,"if current_user.is_authenticated:
","if current_user.is_authenticated():
",if current_user.is_authenticated:,secure,1.0
29,CVE-2017-7266,CWE-601,Netflix\security\/dataset_py/CVE-2017-7266/3b4da13efabb05970c80f464a50d3c1c12262466/modules_2.py,190,"if current_user.is_authenticated:
","if current_user.is_authenticated():
",if current_user.is_authenticated:,secure,1.0
30,CVE-2018-10895,CWE-352/CWE-352,qutebrowser\qutebrowser\/dataset_py/CVE-2018-10895/43e58ac865ff862c2008c510fc5f7627e10b4660/webkitqutescheme_1_1.py,34,"mimetype, data = qutescheme.data_for_url(url)","mimetype, data = qutescheme.data_for_url(request.url())","mimetype, data = qutescheme.data_for_url(url)",secure,1.0
31,CVE-2019-16056,CWE-1068,python\cpython\/dataset_py/CVE-2019-16056/8cb65d1381b027f0b09ee36bfed7f35bb4dec9a9/_parseaddr_1.py,315,"if not domain:

","return EMPTYSTRING.join(aslist) + domain

",if not domain:,secure,1.0
32,CVE-2019-18933,CWE-258,zulip\zulip\/dataset_py/CVE-2019-18933/0c2cc41d2e40807baa5ee2c72987ebfb64ea2eb6/users_1.py,313,"bot_profile = do_create_user(email=email, password=None,","bot_profile = do_create_user(email=email, password='',","bot_profile = do_create_user(email=email, password=None,",secure,1.0
33,CVE-2020-13124,CWE-78,sabnzbd\sabnzbd\/dataset_py/CVE-2020-13124/develop/misc_1.py,991,"        txt = p.stdout.read()

","        txt = platform_btou(p.stdout.read())
","txt = p.stdout.read().decode(""utf-8"")",secure,0.0814042964661547
34,CVE-2020-15141,CWE-22,triaxtec\openapi-python-client\/dataset_py/CVE-2020-15141/3e7dfae5d0b3685abf1ede1bc6c086a116ac4746/utils_2.py,25,"return stringcase.spinalcase(group_title(_sanitize(value)))
","return stringcase.spinalcase(value)
",return stringcase.spinalcase(group_title(_sanitize(value))),secure,1.0
35,CVE-2020-36324,CWE-79,wikimedia\analytics-quarry-web\/dataset_py/CVE-2020-36324/4b7e1d6a3a52ec6cf826a971135a38b0f74785d2/app_1.py,394,"            mimetype='application/json'

","        return Response(json.dumps({'key': key, 'value': get_preferences()[key]}))
","mimetype='application/json',",secure,1.0
36,CVE-2020-36324,CWE-79,wikimedia\analytics-quarry-web\/dataset_py/CVE-2020-36324/4b7e1d6a3a52ec6cf826a971135a38b0f74785d2/app_2.py,399,"            mimetype='application/json'

","        return Response(json.dumps({'key': key, 'error': 'novalue'}))
",mimetype='application/json',secure,1.0
37,CVE-2020-36324,CWE-79,wikimedia\analytics-quarry-web\/dataset_py/CVE-2020-36324/4b7e1d6a3a52ec6cf826a971135a38b0f74785d2/app_3.py,411,"        mimetype='application/json'

","    return Response(json.dumps({'key': key, 'success': ''})), 201
",mimetype='application/json',secure,1.0
38,CVE-2020-36660,NVD-CWE-noinfo/CWE-200,paxswill\evesrp\/dataset_py/CVE-2020-36660/9e03f68e46e85ca9c9694a6971859b3ee66f0240/api_1.py,46,"@login_required
"," def user_detail(user_id):
",@login_required,secure,1.0
39,CVE-2020-36660,NVD-CWE-noinfo/CWE-200,paxswill\evesrp\/dataset_py/CVE-2020-36660/9e03f68e46e85ca9c9694a6971859b3ee66f0240/api_3.py,76,"@login_required
","def group_detail(group_id):
",@login_required,secure,1.0
