,cve_id,cwe_id,file_name,line_num,sec_label,insec_label,pred,result,sec_score
0,CVE-2012-2101,CWE-770,openstack\nova\/dataset_py/CVE-2012-2101/8c8735a73afb16d5856f0aa6088e9ae406c52beb/quotas_1.py,45,"                'injected_files', 'cores', 'security_groups',
                'security_group_rules']
","                'injected_files', 'cores']
","'injected_files', 'cores', 'security_groups', 'security_group_rules']",secure,0.3026709311905882
1,CVE-2012-2417,CWE-334,Legrandin\pycrypto\/dataset_py/CVE-2012-2417/9f912f13df99ad3421eff360d6a62d7dbec755c2/ElGamal_2.py,25,"    while 1:

","    size=bits-1-(ord(randfunc(1)) & 63) # g will be from 1--64 bits smaller than p
",while 1:,secure,1.0
2,CVE-2012-3458,CWE-329,bbangert\beaker\/dataset_py/CVE-2012-3458/91becae76101cf87ce8cbfabe3af2622fc328fe5/pycrypto_2.py,21,"        cipher = AES.new(key, AES.MODE_CTR,

","        cipher = AES.new(key)
","cipher = AES.new(key, AES.MODE_CTR,",secure,1.0
3,CVE-2012-3542,CWE-287,openstack\keystone\/dataset_py/CVE-2012-3542/5438d3b5a219d7c8fa67e66e538d325a61617155/core_1.py,340,"self.assert_admin(context)
","tenant_id = user.get('tenantId')
",self.assert_admin(context),secure,1.0
4,CVE-2012-4456,CWE-287,openstack\keystone\/dataset_py/CVE-2012-4456/14b136aed9d988f5a8f3e699bd4577c9b874d6c1/core_1.py,353,"self.assert_admin(context)
","if tenant_id is None:
",self.assert_admin(context),secure,1.0
5,CVE-2012-4520,CWE-20,django\django\/dataset_py/CVE-2012-4520/92d3430f12171f16f566c9050c40feefb830a4a3/views_1.py,133,"                opts = dict(opts, domain_override=request.get_host())

","                opts = dict(opts, domain_override=request.META['HTTP_HOST'])
","opts = dict(opts, domain_override=request.get_host())",secure,1.0
6,CVE-2012-4520,CWE-20,django\django\/dataset_py/CVE-2012-4520/9305c0e12d43c4df999c3301a1f0c742264a657e/views_1.py,141,"opts = dict(opts, domain_override=request.get_host())
","opts = dict(opts, domain_override=request.META['HTTP_HOST'])
","opts = dict(opts, domain_override=request.get_host())",secure,1.0
7,CVE-2012-4520,CWE-20,django\django\/dataset_py/CVE-2012-4520/b45c377f8f488955e0c7069cad3f3dd21910b071/views_1.py,128,"opts = dict(opts, domain_override=request.get_host())
","opts = dict(opts, domain_override=request.META['HTTP_HOST'])
","opts = dict(opts, domain_override=request.get_host())",secure,1.0
8,CVE-2013-0294,CWE-330,wichert\pyrad\/dataset_py/CVE-2013-0294/38f74b36814ca5b1a27d9898141126af4953bee5/packet_3.py,168,"return random_generator.randrange(0, 256)
","return random.randrange(0, 256)
","return random_generator.randrange(0, 256)",secure,1.0
9,CVE-2013-0342,CWE-20,pyradius\pyrad\/dataset_py/CVE-2013-0342/38f74b36814ca5b1a27d9898141126af4953bee5/packet_2.py,168,"        return random_generator.randrange(0, 256)
","        return random.randrange(0, 256)
","return random_generator.randrange(0, 256)",secure,1.0
10,CVE-2014-125070,CWE-79/CWE-79,yanheven\console\/dataset_py/CVE-2014-125070/ba908ae88d5925f4f6783eb234cc4ea95017472b/tables_1.py,96,"                          filters=(safe_unordered_list,))

","                          filters=(filters.unordered_list,))

","filters=(safe_unordered_list,))",secure,1.0
11,CVE-2014-3995,CWE-79,djblets\djblets\/dataset_py/CVE-2014-3995/77ac64642ad530bf69e390c51fc6fdcb8914c8e7/gravatars_1.py,22,return format_html(,"return ('<img src=""%s"" width=""%s"" height=""%s"" alt=""%s"" '","returnformat_html('<img src=""{url}"" alt=""{user.username}"">',",secure,-0.2035587400810651
12,CVE-2015-10049,CWE-79,overdrive-diy\course-builder\/dataset_py/CVE-2015-10049/e39645fd714adb7e549908780235911ae282b21b/oeditor_1.py,96,"'exit_url': exit_url,","'exit_url': jinja2.Markup(exit_url),","'exit_url':exit_url,",secure,1.0
13,CVE-2015-1838,CWE-379,saltstack\salt\/dataset_py/CVE-2015-1838/e11298d7155e9982749483ca5538e46090caef9c/serverdensity_device_2.py,152,"        cmd='curl https://www.serverdensity.com/downloads/agent-install.sh -o {0}'.format(install_filename),

","        cmd='curl https://www.serverdensity.com/downloads/agent-install.sh -o install.sh',
","cmd='curl https://www.serverdensity.com/downloads/agent-install.sh -o{0}'.format(install_filename),",secure,1.0
14,CVE-2015-1838,CWE-379,saltstack\salt\/dataset_py/CVE-2015-1838/e11298d7155e9982749483ca5538e46090caef9c/serverdensity_device_3.py,155,"    __salt__['cmd.run'](cmd='chmod +x {0}'.format(install_filename), cwd=work_dir)

","    __salt__['cmd.run'](cmd='chmod +x install.sh', cwd=work_dir)
","__salt__['cmd.run'](cmd='chmod +x{0}'.format(install_filename), cwd=work_dir)",secure,1.0
15,CVE-2015-3171,CWE-200,sosreport\sos\/dataset_py/CVE-2015-3171/d7759d3ddae5fe99a340c88a1d370d65cfa73fd6/sosreport_2.py,1273,"                os.umask(old_umask)

","            final_filename = self.archive.get_archive_path()
",os.umask(old_umask),secure,1.0
16,CVE-2015-4707,CWE-79,ipython\ipython\/dataset_py/CVE-2015-4707/7222bd53ad089a65fd610fab4626f9d0ab47dfce/handlers_1.py,14,"class SessionRootHandler(APIHandler):

","class SessionRootHandler(IPythonHandler):
",class SessionRootHandler(APIHandler):,secure,1.0
17,CVE-2015-4707,CWE-79,ipython\ipython\/dataset_py/CVE-2015-4707/7222bd53ad089a65fd610fab4626f9d0ab47dfce/handlers_2.py,61,"class SessionHandler(APIHandler):

","class SessionHandler(IPythonHandler):
",class SessionHandler(APIHandler):,secure,1.0
18,CVE-2015-5081,CWE-352,divio\django-cms\/dataset_py/CVE-2015-5081/f77cbc607d6e2a62e63287d37ad320109a2cc78a/publisher_2.py,334,"response = self.client.post(admin_reverse(""cms_page_publish_page"", args=[page.pk, 'en']))

","esponse = self.client.get(admin_reverse(""cms_page_publish_page"", args=[page.pk, 'en']))

","response = self.client.post(admin_reverse(""cms_page_publish_page"", args=[page.pk, 'en']))",secure,1.0
19,CVE-2015-5081,CWE-352,divio\django-cms\/dataset_py/CVE-2015-5081/f77cbc607d6e2a62e63287d37ad320109a2cc78a/publisher_3.py,349,"response = self.client.post(admin_reverse(""cms_page_publish_page"", args=[page.pk, 'en']))
","response = self.client.get(admin_reverse(""cms_page_publish_page"", args=[page.pk, 'en']))
","response = self.client.post(admin_reverse(""cms_page_publish_page"", args=[page.pk, 'en']))",secure,1.0
20,CVE-2015-5159,CWE-20,latchset\kdcproxy\/dataset_py/CVE-2015-5159/f274aa6787cb8b3ec1cc12c440a56665b7231882/__init___2.py,149,"            if length < 0:

","try:
",if length < 0:,secure,1.0
