,cve_id,cwe_id,file_name,line_num,sec_label,insec_label,pred,result,sec_score
0,CVE-2012-2417,CWE-310,Legrandin\pycrypto\/dataset_py\CVE-2012-2417\9f912f13df99ad3421eff360d6a62d7dbec755c2\ElGamal_2.py,25,"    while 1:

","    size=bits-1-(ord(randfunc(1)) & 63) # g will be from 1--64 bits smaller than p
",while 1:,secure,1.0
1,CVE-2012-3426,CWE-264,openstack\keystone\/dataset_py\CVE-2012-3426\29e74e73a6e51cffc0371b32354558391826a4aa\service_1.py,305,"                                            expires=old_token_ref['expires']))
","                                            ))
",expires=old_token_ref['expires'])),secure,1.0
2,CVE-2012-3426,CWE-264,openstack\keystone\/dataset_py\CVE-2012-3426\375838cfceb88cacc312ff6564e64eb18ee6a355\service_1.py,305,expires=old_token_ref['expires'])),)),expires=old_token_ref['expires'])),secure,1.0
3,CVE-2012-3458,CWE-310,bbangert\beaker\/dataset_py\CVE-2012-3458\91becae76101cf87ce8cbfabe3af2622fc328fe5\pycrypto_1.py,15,"        cipher = AES.new(key, AES.MODE_CTR,

","        cipher = AES.new(key)
","cipher = AES.new(key, AES.MODE_CTR, counter=Counter.new(128))",secure,0.3652463905407277
4,CVE-2012-3458,CWE-310,bbangert\beaker\/dataset_py\CVE-2012-3458\91becae76101cf87ce8cbfabe3af2622fc328fe5\pycrypto_2.py,21,"        cipher = AES.new(key, AES.MODE_CTR,

","        cipher = AES.new(key)
","cipher = AES.new(key, AES.MODE_CTR,",secure,0.3652463905407275
5,CVE-2012-3542,CWE-264,openstack\keystone\/dataset_py\CVE-2012-3542\5438d3b5a219d7c8fa67e66e538d325a61617155\core_1.py,340,"self.assert_admin(context)
","tenant_id = user.get('tenantId')
",self.assert_admin(context),secure,1.0
6,CVE-2012-4406,CWE-94,openstack\swift\/dataset_py\CVE-2012-4406\e1ff51c04554d51616d2845f92ab726cb0e5831a\memcache_2.py,27,"                if serialization_format is None:

","            self.memcache_servers = '127.0.0.1:11211'
",if serialization_format is None:,secure,1.0
7,CVE-2012-4406,CWE-94,openstack\swift\/dataset_py\CVE-2012-4406\e1ff51c04554d51616d2845f92ab726cb0e5831a\memcache_3.py,37,"        if serialization_format is None:

","        self.memcache = MemcacheRing(
",if serialization_format is None:,secure,1.0
8,CVE-2012-4456,CWE-287,openstack\keystone\/dataset_py\CVE-2012-4456\14b136aed9d988f5a8f3e699bd4577c9b874d6c1\core_1.py,353,"self.assert_admin(context)
","if tenant_id is None:
",self.assert_admin(context),secure,1.0
9,CVE-2012-4457,CWE-287,openstack\keystone\/dataset_py\CVE-2012-4457\5373601bbdda10f879c08af1698852142b75f8d5\service_1.py,237,"if tenant_ref and not tenant_ref.get('enabled', True):",if tenant_ref:,"if tenant_ref and not tenant_ref.get('enabled', True):",secure,0.6833718184164128
10,CVE-2012-4457,CWE-287,openstack\keystone\/dataset_py\CVE-2012-4457\5373601bbdda10f879c08af1698852142b75f8d5\service_2.py,289,"            if tenant_ref and not tenant_ref.get('enabled', True):

","                        tenant_id=tenant_ref['id'tenant_ref['id'])
","if tenant_ref and not tenant_ref.get('enabled', True):",secure,1.0
11,CVE-2012-4520,CWE-20,django\django\/dataset_py\CVE-2012-4520\92d3430f12171f16f566c9050c40feefb830a4a3\views_1.py,133,"                opts = dict(opts, domain_override=request.get_host())

","                opts = dict(opts, domain_override=request.META['HTTP_HOST'])
","opts = dict(opts, domain_override=request.get_host())",secure,0.2371034535964769
12,CVE-2012-4520,CWE-20,django\django\/dataset_py\CVE-2012-4520\9305c0e12d43c4df999c3301a1f0c742264a657e\views_1.py,141,"opts = dict(opts, domain_override=request.get_host())
","opts = dict(opts, domain_override=request.META['HTTP_HOST'])
","opts = dict(opts, domain_override=request.get_host())",secure,0.2371034535964769
13,CVE-2012-4520,CWE-20,django\django\/dataset_py\CVE-2012-4520\b45c377f8f488955e0c7069cad3f3dd21910b071\views_1.py,128,"opts = dict(opts, domain_override=request.get_host())
","opts = dict(opts, domain_override=request.META['HTTP_HOST'])
","opts = dict(opts, domain_override=request.get_host())",secure,0.2371034535964769
14,CVE-2014-0483,CWE-264,django\django\/dataset_py\CVE-2014-0483\2b31342cdf14fc20e07c43d258f1e7334ad664a6\options_1.py,1066,"        if to_field and not self.to_field_allowed(request, to_field):

","        model = self.model
","if to_field and not self.to_field_allowed(request, to_field):",secure,1.0
15,CVE-2014-125070,CWE-79/CWE-79,yanheven\console\/dataset_py\CVE-2014-125070\ba908ae88d5925f4f6783eb234cc4ea95017472b\tables_1.py,96,"                          filters=(safe_unordered_list,))

","                          filters=(filters.unordered_list,))

","filters=(safe_unordered_list,))",secure,0.2376568200619133
16,CVE-2014-3994,CWE-79,djblets\djblets\/dataset_py\CVE-2014-3994\77a68c03cd619a0996f3f37337b8c39ca6643d6e\djblets_js_1.py,55,"    return mark_safe(force_text(result).translate(_safe_js_escapes))
","    return mark_safe(result)
",return mark_safe(force_text(result).translate(_safe_js_escapes)),secure,0.6330670720499796
